brand,model,count,avg_price,min_price,max_price,min_year,max_year,avg_mileage
Mercedes-Benz,CLA 200,1,9200000.0,9200000,9200000,2015,2015,177000.0
Mercedes-Benz,CLE 300,1,49000000.0,49000000,49000000,2025,2025,
Mercedes-Benz,E 240,1,3000000.0,3000000,3000000,1998,1998,
Mercedes-Benz,E 250,1,30700000.0,30700000,30700000,2023,2023,18700.0
Mercedes-Benz,E 420,1,3500000.0,3500000,3500000,1995,1995,
Mercedes-Benz,E 450,1,39000000.0,39000000,39000000,2023,2023,29000.0
Mercedes-Benz,E 53 AMG,1,45000000.0,45000000,45000000,2023,2023,46000.0
Mercedes-Benz,E 53 AMG Premium,1,34490000.0,34490000,34490000,2022,2022,74600.0
Mercedes-Benz,EQS SUV,1,93000000.0,93000000,93000000,2023,2023,50.0
Mercedes-Benz,G 300,1,5500000.0,5500000,5500000,1990,1990,
Mercedes-Benz,G 350,1,55000000.0,55000000,55000000,2016,2016,
Mercedes-Benz,G 500,1,16000000.0,16000000,16000000,2008,2008,227000.0
Mercedes-Benz,G 580 EQ EQ,1,145000000.0,145000000,145000000,2025,2025,10.0
Mercedes-Benz,GL 550,1,8000000.0,8000000,8000000,2008,2008,374000.0
Mercedes-Benz,GLA 250 4MATIC,1,35821000.0,35821000,35821000,2025,2025,15.0
Mercedes-Benz,GLA 250 4MATIC Sport,1,30000000.0,30000000,30000000,2025,2025,
Mercedes-Benz,GLB 35 AMG,1,41500000.0,41500000,41500000,2024,2024,1000.0
Mercedes-Benz,GLC 220,1,18250000.0,18250000,18250000,2020,2020,110000.0
Mercedes-Benz,GLC 300 4MATIC,1,45531740.0,45531740,45531740,2025,2025,500.0
Mercedes-Benz,GLE 400,1,20700000.0,20700000,20700000,2016,2016,
Mercedes-Benz,GLE 450,1,43000000.0,43000000,43000000,2022,2022,80000.0
Mercedes-Benz,GLE 53 AMG,1,55300000.0,55300000,55300000,2026,2026,
Mercedes-Benz,GLE 53 AMG 4MATIC,1,84133060.0,84133060,84133060,2025,2025,7.0
Mercedes-Benz,GLE 53 AMG 4MATIC+,1,77219663.0,77219663,77219663,2025,2025,7.0
Mercedes-Benz,GLE 63 AMG 4MATIC+,1,78000000.0,78000000,78000000,2024,2024,14500.0
Mercedes-Benz,GLE Coupe 450 AMG,1,24900000.0,24900000,24900000,2015,2015,92000.0
Mercedes-Benz,GLE Coupe 4MATIC,1,65000000.0,65000000,65000000,2025,2025,
Mercedes-Benz,GLE Coupe 53 AMG 4MATIC,1,90654100.0,90654100,90654100,2025,2025,5.0
Mercedes-Benz,GLE Coupe 63 AMG,1,110000000.0,110000000,110000000,2024,2024,16000.0
Mercedes-Benz,GLE Coupe 63 AMG 4MATIC,1,84129000.0,84129000,84129000,2023,2023,15.0
Mercedes-Benz,GLK 350,1,7000000.0,7000000,7000000,2009,2009,330000.0
Mercedes-Benz,GLS 400,1,22000000.0,22000000,22000000,2016,2016,140000.0
Mercedes-Benz,GLS 580,1,80000000.0,80000000,80000000,2022,2022,23000.0
Mercedes-Benz,ML 63 AMG,1,26000000.0,26000000,26000000,2013,2013,
Mercedes-Benz,S 350,1,7000000.0,7000000,7000000,2005,2005,213456.0
Mercedes-Benz,S 380,1,5100000.0,5100000,5100000,1999,1999,240000.0
Mercedes-Benz,S 550,1,6700000.0,6700000,6700000,2006,2006,
Mercedes-Benz,S 63 AMG,1,48000000.0,48000000,48000000,2017,2017,60000.0
Mercedes-Benz,SL 55 AMG,1,16000000.0,16000000,16000000,2005,2005,118000.0
Mercedes-Benz,SL 63 AMG,1,70000000.0,70000000,70000000,2024,2024,
Mercedes-Benz,V 250 Avantgarde,1,58600000.0,58600000,58600000,2023,2023,
Mercedes-Benz,V 300 Avantgarde,1,78000000.0,78000000,78000000,2025,2025,
Mercedes-Maybach,S 500,1,33500000.0,33500000,33500000,2016,2016,45000.0
Mini,Clubman,1,6300000.0,6300000,6300000,2012,2012,80000.0
Mitsubishi,Delica D:5,1,7950000.0,7950000,7950000,2009,2009,150000.0
Mitsubishi,Legnum,1,1700000.0,1700000,1700000,1997,1997,123456.0
Mitsubishi,Montero,1,7800000.0,7800000,7800000,2003,2003,230000.0
Mitsubishi,Outlander Sport,1,4400000.0,4400000,4400000,2011,2011,209170.0
Mitsubishi,Pajero iO,1,1750000.0,1750000,1750000,1998,1998,165072.0
Mitsubishi,Space Runner,1,1000000.0,1000000,1000000,1992,1992,400000.0
Mitsubishi,Space Wagon,1,4900000.0,4900000,4900000,2004,2004,508000.0
Nissan,Almera Tino,1,1000000.0,1000000,1000000,2001,2001,
Nissan,Altima,1,6900000.0,6900000,6900000,2020,2020,69000.0
Nissan,Bluebird,1,1700000.0,1700000,1700000,1998,1998,
Nissan,Cube,1,1400000.0,1400000,1400000,1999,1999,
Nissan,Gloria,1,3000000.0,3000000,3000000,2004,2004,222222.0
Nissan,Mistral,1,2200000.0,2200000,2200000,1996,1996,
Nissan,Patrol Platinum+,1,47999000.0,47999000,47999000,2024,2024,
Nissan,Presage,1,1900000.0,1900000,1900000,1998,1998,
Nissan,Pulsar,1,1150000.0,1150000,1150000,1995,1995,
Nissan,Qashqai LE,1,7590000.0,7590000,7590000,2021,2021,52080.0
Nissan,Qashqai SL,1,14500000.0,14500000,14500000,2026,2026,10.0
Nissan,Rogue,1,2800000.0,2800000,2800000,2009,2009,250000.0
Nissan,Sunny,1,1000000.0,1000000,1000000,1995,1995,202000.0
Nissan,Tino,1,3200000.0,3200000,3200000,2002,2002,235000.0
Nissan,Versa,1,2300000.0,2300000,2300000,2007,2007,201125.0
