2026-04-25 23:57:03,148 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/218219468
2026-04-25 23:57:03,149 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/157955094
2026-04-25 23:57:03,149 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/184477696
2026-04-25 23:57:03,150 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/157954676
2026-04-25 23:57:03,150 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/193060122
2026-04-25 23:57:03,151 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/157954713
2026-04-25 23:57:03,151 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/157954672
2026-04-25 23:57:03,161 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/216863856
2026-04-25 23:57:03,162 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/191685406
2026-04-25 23:57:03,163 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/217568298
2026-04-25 23:57:03,163 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/217835954
2026-04-25 23:57:03,164 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/214705951
2026-04-25 23:57:03,166 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/218034861
2026-04-25 23:57:03,167 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/216322798
2026-04-25 23:57:03,168 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/217738428
2026-04-25 23:57:03,168 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/215582073
2026-04-25 23:57:03,169 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/216837717
2026-04-25 23:57:03,169 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/207735842
2026-04-25 23:57:03,169 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/217621911
2026-04-25 23:57:03,170 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/217620634
2026-04-25 23:57:03,171 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/215936788
2026-04-25 23:57:03,172 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/143681536
2026-04-25 23:57:03,173 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/213156207
2026-04-25 23:57:03,173 | INFO | kolesa_http_parser | listing URL https://kolesa.kz/a/show/217729312
2026-04-25 23:57:04,948 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/214705951 "HTTP/1.1 200 OK"
2026-04-25 23:57:04,967 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/214705951; current total saved count: 74
2026-04-25 23:57:07,303 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/218034861 "HTTP/1.1 200 OK"
2026-04-25 23:57:07,314 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/218034861; current total saved count: 75
2026-04-25 23:57:08,032 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/216322798 "HTTP/1.1 200 OK"
2026-04-25 23:57:08,040 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/216322798; current total saved count: 76
2026-04-25 23:57:10,272 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/217738428 "HTTP/1.1 200 OK"
2026-04-25 23:57:10,281 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/217738428; current total saved count: 77
2026-04-25 23:57:11,958 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/215582073 "HTTP/1.1 200 OK"
2026-04-25 23:57:11,967 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/215582073; current total saved count: 78
2026-04-25 23:57:14,952 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/216837717 "HTTP/1.1 200 OK"
2026-04-25 23:57:14,959 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/216837717; current total saved count: 79
2026-04-25 23:57:15,312 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/207735842 "HTTP/1.1 200 OK"
